source,country,country_name,product_id,product_name,product_code,emission_factor_per_meur,unit,base_year,tier
EXIOBASE,TW,台灣,163,Supporting and auxiliary transport services; travel agency services (63),C_TAUX,146887.95910255256,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,164,Post and telecommunication services (64),C_PTEL,7031.982074876425,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,165,"Financial intermediation services, except insurance and pension funding services (65)",C_FINT,32200.063840841125,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,166,"Insurance and pension funding services, except compulsory social security services (66)",C_FINS,62716.40507306467,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,167,Services auxiliary to financial intermediation (67),C_FAUX,30219.996759919795,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,168,Real estate services (70),C_REAL,24629.88116828809,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,169,Renting services of machinery and equipment without operator and of personal and household goods (71),C_MARE,100250.48570411307,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,170,Computer and related services (72),C_COMP,11753.997286663014,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,171,Research and development services (73),C_RESD,74429.95594418551,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,172,Other business services (74),C_OBUS,12402.349473665376,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,173,Public administration and defence services; compulsory social security services (75),C_PADF,24369.561787194147,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,174,Education services (80),C_EDUC,6973.319403763144,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,175,Health and social work services (85),C_HEAL,37562.919934676975,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,176,Food waste for treatment: incineration,C_INCF,409058.9834630037,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,177,Paper waste for treatment: incineration,C_INCP,402085.23281377857,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,178,Plastic waste for treatment: incineration,C_INCL,24060548.085466266,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,179,Intert/metal waste for treatment: incineration,C_INCM,20601958.806824923,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,180,Textiles waste for treatment: incineration,C_INCT,27354059.99937829,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,181,Wood waste for treatment: incineration,C_INCW,421001.2381918674,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,182,Oil/hazardous waste for treatment: incineration,C_INCO,49192.09692990708,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,183,Food waste for treatment: biogasification and land application,C_BIOF,19020.057787488266,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,184,Paper waste for treatment: biogasification and land application,C_BIOP,15981.875117652457,kg CO2e/M.EUR,2022,3
