Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
BioCotton fibre from China/India (without global seatranspor,kg,0.336,0.92,"50% Idemat2023 bio-Cotton, China + 50% Idemat2023 bio-Cotton, China"
BioCotton fibre from USA (without global seatransport),kg,0.768,0.99,"copy Idemat2023 bio-Cotton, USA"
"bio-Cotton, China",kg,0.289,0.96,"from: LCA update of cotton fibre and fabric life cycle inventory, Cotton Incorporated, 2017, John Jewell"
"bio-Cotton, India",kg,0.383,0.89,"from: LCA update of cotton fibre and fabric life cycle inventory, Cotton Incorporated, 2017, John Jewell"
"bio-Cotton, USA",kg,0.768,0.99,"from: LCA update of cotton fibre and fabric life cycle inventory, Cotton Incorporated, 2017, John Jewell"
biodiesel (palm oil methyl ester),kg,1.304,0.85,"See palm oil. Refinery data from Probas. Including land-use norm Indonesia Sumatra (palmol is produced at Kalimantan as well, but also in less vularable areas in the world)"
biodiesel (rape methyl ester),kg,0.893,0.52,"Idemat2023 Rape oil, Europe plus Refinery data from Probas remodelled"
"biodiesel (soybean ester, 100% USA)",kg,0.842,0.18,0
"biodiesel (soybean ester, 50% Brazil, 50% USA)",kg,3.682,0.95,"calculated from Idemat soybean oil 50% USA 50% Brazil, plus  refinery data from Probas"
bio-PE (Polyethylene) co-firing in electrical power plant,kg,-3.634,-0.51,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS. Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
bio-PE (Polyethylene) not biodegradable,kg,1.87,0.34,"derived from Idemat2023 PE (LDPE, Low density Polyethylene)"
"bio-PE (Polyethylene) waste combustion, clean tech, without heat recovery",kg,0,0.04,0
bio-PE (Polyethylene) waste incineration with electricity,kg,-1.999,-0.26,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS. Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"bio-PE (Polyethylene), closed loop chemical upcycling credit",kg,0,0,#VALUE!
Birch FSC/PEFC 660 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Bismuth (as co-product of Tungsten),kg,2.913,34.37,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . Table S38. hardly no recycling, no data in RMIS – Raw Materials Information System, assesed 2023-07-13"
Bisphenol A,kg,2.264,1.06,Plastics Europe LCI database
Bisphenol A co-firing in electrical power plant,kg,0.218,0.01,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Bisphenol A waste combustion, clean tech, without heat recovery",kg,2.89,0.41,0
Bisphenol A waste incineration with electricity,kg,1.42,0.19,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Bitumen,kg,0.456,0.87,proxi of economic allocation of refinary products: the value of bitumen is the value of heavy oil for combustion
"Bituminous coal (26.4 MJ/kg), US, including combustion",kg,2.933,0.68,calculated from USLCI
Bituminous coal at mine US,kg,0.171,0.03,calculated from USLCI
Black poplar FSC/PEFC 440 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Blastfurnace slags,kg,0.003,0,copy ELCD
"blow moulding, machine only",kg,0.212,0.04,0
"blow moulding, production site",kg,1.098,0.19,0
Blue gum FSC/PEFC 900 (kg/m3),kg,0.296,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Blue gum natural forest 900 (kg/m3),kg,3.746,1.89,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Board (solid) and recycled paper (test liner and fluting),kg,0.575,0.1,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022"
Boiling (1.1 MJe per kg product),kg,0.103,0.02,0
Boric acid,kg,0.909,1.8,0
Boron,kg,5.135,10.19,0
Boron Carbide,kg,39.894,7.94,#VALUE!
Borosilicate glass (Pyrex),kg,3.409,0.65,"own research Delft University of Technology: 12% B2CO3, 5% Al2O3, extra melting 1700 K x 0.83 kJ/kg.K = 1.41 MJ/kg"
Bosse clair FSC/PEFC 575 (kg/m3),kg,0.251,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Bosse clair natural forest 575 (kg/m3),kg,3.701,9.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
BR (butadiene rubber),kg,3.964,1.65,Plastics Europe LCI database
BR and IIR (butadiene rubber and butyl rubber) in tires,kg,3.785,1.4,75% Idemat2023 PB (Polybutadiene) plus 25% Idemat2023 Carbon black
BR and IIR (Butyl rubber) co-firing in electrical power plan,kg,-0.224,-0.06,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"BR and IIR (Butyl rubber) waste combustion, clean tech, without heat recovery",kg,3.45,0.5,0
BR and IIR (Butyl rubber) waste incineration with electricit,kg,1.429,0.19,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Bread, rye fresh",kg,0.52,0.35,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Bread, wheat fresh",kg,0.573,0.38,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
Broccoli fresh,kg,0.486,0.29,copy agri-footprint
Brown Hydrogen including combustion CO2,kg,11.767,1.77,0
"Brown paper (kraft liner), FSC",kg,0.332,0.07,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022"
"Brown paper (kraft liner), FSC 70 gr/m2",m2,0.023,0.01,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022"
"Brown paper (kraft liner), wood waste based",kg,0.332,0.07,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022"
Bubinga FSC/PEFC 830 (kg/m3),kg,0.23,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Bubinga natural forest 830 (kg/m3),kg,3.68,6.42,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Bulk carrier Handysize dwt 16.383, 12.5 knots",tkm,0.005,0,"example dwt 16383, 12.5 knotslook at https://horizonship.com/"
Bulk carrier Panamax,tkm,0.003,0,"Litt. MILOJKA POCUCA. METHODOLOGY OF DAY-TO-DAY SHIP COSTS ASSESSMENT. Promet-Traffic&Transportation, Vol.18, 2006, No. 5, 337-345. Table2 "
Butadiene,kg,1.98,0.31,0
Butane,kg,0.35,0.11,#VALUE!
Butane oxidation,kg,1.631,0.31,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Butane-1,4-diol",kg,4.017,0.65,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Butane-1,4-diol dehydrogenation",kg,4.431,0.71,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Butanes from butene,",kg,3.432,0.57,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Butene hydration,kg,3.88,0.64,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Butene hydroformylation,kg,6.472,1.02,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Butyl acetate,kg,3.714,0.59,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Butylate (Butylated hydroxytoluene, 2,6-Di-tert-butyl-4-meth",kg,5.053,0.83,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Butyrolactone,kg,4.664,0.75,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
C12–C13 sodium alkyl ether sulphate. 2 EO,kg,2.402,0.36,#VALUE!
C12–C14 alcohol ethoxylate. 3 EO,kg,1.876,0.27,#VALUE!
C12–C14 alcohol ethoxylate. 7 EO,kg,2.063,0.3,#VALUE!
C12–C14 amine oxide,kg,2.589,0.37,#VALUE!
C12–C14 sodium alkyl ether sulphate. 2 EO,kg,1.814,0.26,#VALUE!
C12–C14 sodium alkyl sulphate,kg,2.593,0.38,#VALUE!
C12–C15 alcohol ethoxylate. 3 EO,kg,2.648,0.39,#VALUE!
C12–C15 alcohol ethoxylate. 7 EO,kg,2.297,0.34,#VALUE!
C15,kg,0.951,0.23,mix of the Idemat data of the basic metals
C16–C18 alcohol ethoxylate. > 20 EO,kg,2.406,0.35,#VALUE!
C16–C18 fatty alcohol (palm oil),kg,1.888,0.26,#VALUE!
C16–C18 fatty alcohol (tallow),kg,2.887,0.4,#VALUE!
C16–C18 triethanolamine esterquats,kg,2.836,0.41,#VALUE!
C35,kg,1.1,0.41,mix of the Idemat data of the basic metals
C45,kg,1.102,0.41,mix of the Idemat data of the basic metals
C55,kg,0.952,0.23,mix of the Idemat data of the basic metals
C60,kg,0.952,0.23,mix of the Idemat data of the basic metals
C8–C18 alkyl amidopropyl betaine,kg,3.174,0.47,#VALUE!
"CA (Cellelose acetate, tetra, bio-degradable) chemical upcyc",kg,8.555,1.28,#VALUE!
CA (Cellulose polymers) co-firing in electrical power plant,kg,-1.32,-0.18,https://pslc.ws/fire/cellulos/combans.htm
"CA (Cellulose polymers) waste combustion, clean tech, without heat recovery",kg,0,0.02,0
CA (Cellulose polymers) waste incineration with electricity,kg,-0.726,-0.09,https://pslc.ws/fire/cellulos/combans.htm
"CA (Cellulose polymers), closed loop chemical upcycling cred",kg,0,0,#VALUE!
"CA (Cellulose polymers, biodegradable)",kg,8.555,1.28,"litt. Pooja Yadav, Norafiqah Ismail, Mohamed Essalhi, Mats Tysklind b, Dimitris Athanassiadis, Naser Tavajohi. Assessment of the environmental impact of polymeric membrane production. Journal of Membrane Science 622 (2021)"
Cadmium (EoL-RIR = 0%),kg,3.294,20.46,"cadmium is mined together with zinc, so zinc is taken as surrogate process
recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Canaria FSC/PEFC 830 (kg/m3),kg,0.23,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Canaria natural forest 830 (kg/m3),kg,3.68,6.42,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Captan ((3aR,7aS)-2-[(Trichloromethyl)sulfanyl]-3a,4,7,7a-te",kg,4.892,0.79,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Carapa FSC/PEFC 610 (kg/m3),kg,0.243,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Carapa natural forest 610 (kg/m3),kg,3.693,6.54,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Carbaryl (Naphthalen-1-yl methylcarbamate),kg,5.254,0.85,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
"Carbofuran (2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-yl methy",kg,18.646,3.22,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Carbon black,kg,3.249,0.64,0
"Carbon dioxide, liquid",kg,0.482,0.08,"energy for production, based on European Industry"
Carbon fibre,kg,87.819,16.22,#VALUE!
Carbon monoxide,kg,1.395,0.26,copy USLCI
Carboxymethyl cellulose,kg,4.118,0.73,0
Carrots fresh,kg,0.098,0.07,copy agri-footprint
Cauliflower fresh,kg,0.486,0.29,copy agri-footprint
"CCA wood (Scots pine with Cromium, Copper and Asenic) incl E",kg,0.326,1.33,"This calculation is including the End of Life. In the end, all metals (Copper, Chromium and Arsenic) will end up, soner or later, in the environment"
"Cedar, American FSC/PEFC 490 (kg/m3)",kg,0.267,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Cedar, American natural forest 490 (kg/m3)",kg,3.717,9.26,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Celery roote fresh,kg,0.215,0.07,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Cement (blastfurnace CEM III B 42.5 N),kg,0.253,0.05,LCA for the production of CORUS cement in the Netherlands.  Average data.
Cement (Portland CEM I 52.5 N),kg,0.903,0.17,copy ELCD
Ceramic glass,kg,2.743,0.46,#VALUE!
Cerium,kg,25.958,118.09,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
CFRP (50%) co-firing in electrical power plant,kg,0.077,-0.53,CO2 emissions from combustion and credits for the delivered energy -17.2 MJth gas
"CFRP (50%) waste combustion, clean tech, without heat recovery",kg,3.19,0.44,0
CFRP (50%) waste incineration with electricity,kg,1.48,-0.09,CO2 emissions from combustion and credits for the delivered energy -8.6 MJth gas
CFRP 25% carbon,kg,23.138,4.45,12% Idemat2023 Polyester (unsaturated) +  13% Idemat2023 Styrene + 25% Idemat2023 Styrene + 50% Idemat2023 Sodium silicate
Chain sawing,s,0.001,0,"per hour 0.66 kg Petrol, plus emissions, plus lubricants "
Cheese Dutch,kg,7.046,1.99,copy agri-footprint
Chestnut FSC/PEFC 540 (kg/m3),kg,0.105,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Chicken fresh,kg,2.349,1.4,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
Chicken frozen,kg,2.612,1.46,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Chloramben (3-Amino-2,5-dichlorobenzoic acid)",kg,4.157,0.7,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
"Chlordimeform (N'-(4-chloro-2-methylphenyl)-N,N-dimethylmeth",kg,9.687,1.59,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
"Chlorine (average of USLCI, Plasticseurope, EU chlor-alkali",kg,0.783,0.15,0
Chlorine (European Chlor-Alkali Industry 2022),kg,0.71,0.13,0
Chlorine (Plasticseurope 2013),kg,0.9,0.19,0
Chlorine (US 2011),kg,0.738,0.13,0
Chloroacetic acid,kg,2.213,0.38,0
Chloroacetic acid (2),kg,1.435,0.21,#VALUE!
"Chlorsulfuron (2-chloro-N-[(4-methoxy-6-methyl-1,3,5-triazin",kg,17.206,2.75,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
"Chromium, CRM (EoL-RIR = 21%)",kg,26.261,6.78,"copy Probas, Umwelt Bundesambt. Recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Citrus (Italy) excl transport,kg,0.055,0.06,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Clinker,kg,0.332,0.05,LCA for the produktion of clinker for the cement industry in the  Netherlands. Average data.
"closed loop PA-11 (nylon-11), chemical upcycling credit",kg,0,0,#VALUE!
"CNG (compressed natural gas) for transport, excl. combustion",kg,1.161,0.65,"derived from ELCD: Process steam from natural gas, heat plant, consumption mix, at plant, MJ, EU-27 S copy without water"
"CNG (compressed natural gas) for transport, including combus",kg,3.911,1.02,"derived from ELCD: Process steam from natural gas, heat plant, consumption mix, at plant, MJ, EU-27 S copy without water"
CNG including combustion CO2,kg,3.911,1.02,0
"Coaster Class A (coast US, North and Baltic sea)",tkm,0.013,0,"calculations based on recent litterature (type of bunker oil, fuel consumption modern vessels, slow speed, and direct routing). example coaster, class A, Matermind Schipmanagement. https://www.mastermind-cyprus.com/fleet/coaster-a-class/"
Cobalt oxide (CoO),kg,5.019,26.33,"Delft University of Technology, estimate"
"Cobalt, CRM (EoL-RIR = 22%)",kg,7.721,40.51,"copy ProBas, Umwelt Bundesambt. Recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Cocamide diethanolamine,kg,1.059,0.15,#VALUE!
Coconut oil methyl ester,kg,0.678,0.1,#VALUE!
Cod fish fillet frozen,kg,5.239,1.4,Danisch food study update by Delft University of Technology
Cod fish fresh,kg,2.217,0.6,Danisch food study update by Delft University of Technology
Cold transforming Al,kg,0.1,0.02,"Cold transforming aluminium, bending, deep drawing etc; energy per kilogram transformed materia"
composting biodegradable plastics,kg,0,0,no fertilisers in biodegradable plastics
composting organic waste (without transport),kg,-0.017,0,"general information internet: 5 - 10 kg N per ton in composted material (note: the issue is N, since Phosphor is in overproduction)"
"Computer desktop, including 27 inch display",p,1062.211,168.74,#VALUE!
"Computer laptop, 15 inch display",p,561.298,98.2,#VALUE!
Concrete,m3,305.581,58.96,"general nformation ENCI brochure (portland cement manufacturer, the netherlands)"
"Concrete (reinforced, 40 kg steel per 1000 kg)",m3,374.76,75.12,"LCA for the produktion of prefab concrete in the Netherlands. 140 kg cement, 320 kg sand, 460 kg gravel, 40 kg steel and 40 kg water "
