Product,Category,Total kg CO2e/kg,Data sources
"Pork, pulled pork",Meat and poultry,4.52,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020n); DEFRA (2009).
"Beef, pulled beef",Meat and poultry,46.07,Data on inputs and outputs of the food processing industry is modelled using: DEFRA (2009); Tulip (2020).
Vegan chorizo,Plant products and drinks,1.82,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020k); ADEME (2020b); ADEME (2020c).
Rice noodles,Cereals and cereal products,4.59,Data on inputs and outputs of the food processing industry is modelled using: Bevilacqua et al. (2007).
Jalapenos,Vegetables and vegetable products,1.43,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000).
Taco shells,Cereals and cereal products,2.19,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020ak); Open Food Facts (2020al); Guzmán-Soria et al. (2019).
Mango chutney,Fruits and fruit products,2.85,"Data on inputs and outputs of the food processing industry is modelled using: Simply recipes (2020b); ADEME (2020d); Nemlig (2020g)
."
Green curry paste,Seasonings and spices,1.98,Data on inputs and outputs of the food processing industry is modelled using: Minimalist Baker (2020); Andersson et al. (1998).
"Noodles, eggs",Cereals and cereal products,1.43,Data on inputs and outputs of the food processing industry is modelled using: Bevilacqua et al. (2007); ADEME (2020a).
Rice pancakes,Cereals and cereal products,4.21,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020w); Konstantas et al. (2019); Bevilacqua et al. (2007).
"Vegan ice cream, oats",Plant products and drinks,1.98,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2018b); Nemlig (2020c).
Vegan mayo,Seasonings and spices,2.93,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012); Planteæderen (2017); Nemlig (2020o).
Vegan mushroom burger,Plant products and drinks,1.44,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012); Open Food Facts (2020ar).
Vegan cold cuts,Plant products and drinks,2.73,Data on inputs and outputs of the food processing industry is modelled using: Danish Crown Foods (2020); Davis and Sonesson (2008); Christian Chefs International (2020).
Vegan block,Plant products and drinks,2.95,Data on inputs and outputs of the food processing industry is modelled using: Naturli (2020a).
