Product,Category,Total kg CO2e/kg,Data sources
Spinach,Vegetables and vegetable products,0.43,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Artichoke,Vegetables and vegetable products,0.84,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Asparagus, green",Vegetables and vegetable products,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Lettuce, iceberg (incl. crisphead types)",Vegetables and vegetable products,0.41,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Lettuce, looseleaf",Vegetables and vegetable products,0.41,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cabbage, Chinese, pak choi",Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cabbage, savoy",Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cauliflower, frozen",Vegetables and vegetable products,0.73,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
Leek,Vegetables and vegetable products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Spinach, chopped, frozen",Vegetables and vegetable products,0.58,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
"Broccoli, frozen",Vegetables and vegetable products,0.73,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
"Beans, wax",Legumes and legume products,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Peas, green",Vegetables and vegetable products,1.19,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Green lentils, dried",Legumes and legume products,2.46,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Peas, chick/garbanzo, dry",Legumes and legume products,2.94,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Green beans, haricot verts",Vegetables and vegetable products,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Bean sprouts, mung",Vegetables and vegetable products,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Bean sprouts,Vegetables and vegetable products,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Sugar pea, snow pea, mangetout",Vegetables and vegetable products,1.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Beans, soy, dried",Legumes and legume products,1.57,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Peas, green, frozen",Vegetables and vegetable products,1.52,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
"Water, carbonated, glass bottle",Beverages,0.19,Data on inputs and outputs of the food processing industry is modelled using: Amienyo et al. (2012).
"Soft drink, sugar added",Beverages,0.56,Data on inputs and outputs of the food processing industry is modelled using: Amienyo et al. (2012).
"Apple juice, plastic bottle",Beverages,1.63,Data on inputs and outputs of the food processing industry is modelled using: Khanali et al. (2020); FAO (2012).
"Sherry, dry","Wine, beer and spirits",2.68,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for sherry. See comments field.
"Liqueur, coffee with cream","Wine, beer and spirits",3.29,Data on inputs and outputs of the food processing industry is modelled using: Weidema et al. (2016); Amienyo et al. (2012).
"Margarine, 70 % fat, table use, soft, vegetable fat",Plant products and drinks,2.88,Data on inputs and outputs of the food processing industry is modelled using: Nilsson et al. (2010); DTU (2019).
Garfish,Seafood,3.44,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.  Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
"Salmon, Atlantic, wild",Seafood,2.98,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
Mackerel,Seafood,2.89,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
Plaice,Seafood,3.59,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
Herring,Seafood,3.1,Data on inputs and outputs of the food processing industry is modelled using:  Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
Saithe,Seafood,3.59,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
"Cod, fillet",Seafood,3.59,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.  Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
"Plaice, fillet, breaded, dybfrost",Seafood,2.83,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020k); ADEME (2020l). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
"Saithe (UK), pollock (US), fillet, frozen",Seafood,3.51,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
Tuna,Seafood,3.85,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
"Salmon, Atlantic, aquaculture, cold smoked",Seafood,3.89,Data on inputs and outputs of the food processing industry is modelled using: The Feed Conversion Rate is drawn from Fry JP et al. (2018) .Data on changes of the dry mattter after smooking are obtained from Kiczorowska et al. (2019).
"Salmon, atlantic, aquaculture, hot smoked",Seafood,4.2,Data on inputs and outputs of the food processing industry is modelled using: The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on changes of the dry mattter after smooking are obtained from Kiczorowska et al. (2019).
"Salmon, atlantic, aquaculture",Seafood,2.98,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017).
"Mayonnaise, low fat",Seasonings and spices,1.2,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020p); Hetherington et al. (2012).
Mayonnaise,Seasonings and spices,3.48,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012).
"Remoulade, average values",Seasonings and spices,1.85,Data on inputs and outputs of the food processing industry is modelled using: Style Blueprint (2020); Hetherington et al. (2012).
Oyster,Seafood,0.85,Data on inputs and outputs of the food processing industry is modelled using: LCI data extracted from Appendix A and B in Williamson et al (2015) assuming 50% is farmed in bottom cages and 50% with floating rafts. Electricity data for aquaculture are obtained from Mungkung R (2005).
Mussel,Seafood,0.19,Data on inputs and outputs of the food processing industry is modelled using: Diesel used are obtained from Tamburini (2020).
Octopus,Seafood,0.38,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for mussels aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal molluscs source, the aquaculture of mussels. Mussels are naturally fed. Diesel used are obtained from Tamburini et al. (2020). "
Mushroom,Mushrooms and mushroom products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Oyster mushroom,Mushrooms and mushroom products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Almondmilk, unfortified",Plant products and drinks,0.37,Data on inputs and outputs of the food processing industry is modelled using: Naturli (2023); Winans et al. (2020).
"Ricemilk, with added calcium",Plant products and drinks,1.23,Data on inputs and outputs of the food processing industry is modelled using: Pereira (2019); Winans et al. (2020).
"Oatmilk, with added calcium",Plant products and drinks,0.38,Data on inputs and outputs of the food processing industry is modelled using: SIK (2013).
"Soymilk, with added calcium",Plant products and drinks,0.41,Data on inputs and outputs of the food processing industry is modelled using: Birgersson et al. 82009); FAO (2012); Grant and Hicks; Pérez López (2018).
"Bouillon, chicken, prepared",Seasonings and spices,0.35,Data on inputs and outputs of the food processing industry is modelled using: DTU (2019); Milà i Canals et al. (2010).
"Meat balls, beef/pork, canned",Meat and poultry,13.55,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020o); DEFRA (2009).
"Bouillon, beef, prepared",Seasonings and spices,0.51,Data on inputs and outputs of the food processing industry is modelled using: DTU (2019); Milà i Canals et al. (2010).
"Meat balls, beef/pork",Meat and poultry,13.55,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020o); DEFRA (2009).
"Dumplings, average values",Cereals and cereal products,1.33,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020d); Onekitchenblog (2019).
"Meat balls, beef/pork, frozen",Meat and poultry,13.21,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020c); ADEME (2020o); DEFRA (2009).
"Soup, tomato, ready to eat",Ready meals,1.95,Data on inputs and outputs of the food processing industry is modelled using: Gould (1992); FAO (2012); Milà i Canals et al. (2010).
"Bouillon, beef, concentrated, cube",Seasonings and spices,8.4,Data on inputs and outputs of the food processing industry is modelled using: Pentaor (2020); Milà i Canals et al. (2010).
"Dumplings, frozen",Cereals and cereal products,1.37,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020d); Onekitchenblog (2019); ADEME (2020c).
"Chicken, grilled, ready meal",Ready meals,4.7,"Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama A, Faist M (2000) Energy use in the food sector: a data survey. AFN report 291, Swedish Environmental Protection Agency, Stockholm, Sweden. Appendix 6.

Carlsson-Kanyama A, Faist M (2000) Energy use in the food sector: a data survey. AFN report 291, Swedish Environmental Protection Agency, Stockholm, Sweden. Appendix 3.

DEFRA (2009) Scenario building to test and inform the development of a BSI method for assessing GHG emissions from food. Project FO0404. http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID= 15650#RelatedDocuments
."
"Chicken, nuggets, deepfried, ready meals",Meat and poultry,4.25,Data on inputs and outputs of the food processing industry is modelled using: Vice (2017); Carlsson-Kanyama and Faist (2000); DEFRA (2009).
"Pizza with tomato and cheese, ready meals",Ready meals,2.69,Data on inputs and outputs of the food processing industry is modelled using: Open Food facts (2020f); DEFRA (2009).
"Pizza with seafood, tomato and cheese, ready meals",Ready meals,3.69,"Data on inputs and outputs of the food processing industry is modelled using: DEFRA (2009) Scenario building to test and inform the development of a BSI method for assessing GHG emissions from food. Project FO0404. http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID= 15650#RelatedDocuments

Ingredient waste rate of 3%, all other flows are increased by this rate. Waste is assumed organic only."
"Pizza with salami, tomato and cheese, ready meals",Ready meals,3.08,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020g); DEFRA (2009).
"Pizza with vegetables, fruit, tomato and cheese, ready meals",Ready meals,2.42,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020h); DEFRA (2009).
"Pizza with meat, tomato and cheese, ready meals",Ready meals,4.33,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020i); Open Food Facts (2020j); DEFRA (2009).
"Pizza with meat and seafood, tomato and cheese, ready meals",Ready meals,4.01,Data on inputs and outputs of the food processing industry is modelled using: DEFRA (2009).
"Veal and pork, mince, 15-20% fat",Meat and poultry,18.33,Data on inputs and outputs of the food processing industry is modelled using: No specific sources on this product. See comments field.
Goat milk,"Milk, dairy products and eggs",2.63,"Data on inputs and outputs of the food processing industry is modelled using: Nielsen et al. (2003); Hospido et al. (2003); Djekic et al. (2014); González-García et al. (2013b)
."
Marzipan,Bread and bakery products,9.98,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018); DEFRA (2009).
"Syrup, kitchen",Candy and sugar products,1.42,Data on inputs and outputs of the food processing industry is modelled using: Renouf et al. (2008).
Pasta,Cereals and cereal products,1.73,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014); Bevilacqua et al. (2007)."
Apple,Fruits and fruit products,0.58,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Pear,Fruits and fruit products,0.43,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Grape,Fruits and fruit products,0.8,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Pork, roast, collar with rind",Meat and poultry,4.64,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Riverdog Farm (2020).
"Pork, ham, topside (M. Semimembranosus), lean",Meat and poultry,4.64,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Riverdog Farm (2020).
"Pork, loin, lean",Meat and poultry,5.54,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Riverdog Farm (2020).
"Pork, tenderloin, trimmed",Meat and poultry,7.33,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Riverdog Farm (2020).
"Pork, mince, 5-10% fat",Meat and poultry,3.71,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Pork, collar, defatted",Meat and poultry,4.74,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Pork, mince, 15-20% fat",Meat and poultry,3.75,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Riverdog Farm (2020).
"Minced meat, spaghetti sauce type, average values, ready meals",Ready meals,16.27,Data on inputs and outputs of the food processing industry is modelled using: Scandinavian Today (2015); DEFRA (2009).
"Turtle, fake, average values, ready meals",Ready meals,21.74,Data on inputs and outputs of the food processing industry is modelled using: ARLA (2020a); DEFRA (2009).
"Spring roll, frozen, ready meals",Ready meals,2.97,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020v); Open Food Facts (2020w); Recipetineats (2018); DEFRA (2009).
"Pork in curry sauce, frozen, ready meals",Ready meals,4.72,Data on inputs and outputs of the food processing industry is modelled using: GoodtoKnow (2020).
"Pizza Romana, frozen, ready meals",Ready meals,2.86,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020k); Nielsen et al. (2003).
"Liver, pig, in cream sauce, frozen, ready meals",Ready meals,3.11,Data on inputs and outputs of the food processing industry is modelled using: Porosenki (2020); DEFRA (2009).
"Pizza Napolitana, frozen, ready meals",Ready meals,2.72,Data on inputs and outputs of the food processing industry is modelled using: Open Food facts (2020f); DEFRA (2009); Nielsen et al. (2003).
"Spring roll, deepfried, ready meals",Ready meals,2.97,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020v); Open Food Facts (2020w); Recipetineats (2018); DEFRA (2009).
"Pizza with broccoli, frozen, ready meals",Ready meals,2.45,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020h); DEFRA (2009); Nielsen et al. (2003).
"Pizza with tuna, frozen, ready meals",Ready meals,2.53,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020l); Nielsen et al. (2003).
"Pork, minced and bound with flour and egg, boiled, frozen, ready meals",Ready meals,2.26,Data on inputs and outputs of the food processing industry is modelled using: Alletiders Kogebog (2020); ADEME (2020c); DEFRA (2009).
Potato,Vegetables and vegetable products,0.39,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Carrot,Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Radish,Vegetables and vegetable products,0.4,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Beet, red",Vegetables and vegetable products,0.32,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Celeriac, celery root",Vegetables and vegetable products,0.33,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Ginger root,Vegetables and vegetable products,1.11,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Fennel, root",Vegetables and vegetable products,0.33,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Turnip,Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Onions, chopped, frozen",Vegetables and vegetable products,0.36,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
"Carrot, frozen",Vegetables and vegetable products,0.36,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
Onion,Vegetables and vegetable products,0.25,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Onions, spring",Vegetables and vegetable products,0.7,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Cassava,Vegetables and vegetable products,0.64,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Parsley root,Vegetables and vegetable products,0.84,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cheese, semihard, Feta, 40 % fidm","Milk, dairy products and eggs",2.24,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014); Nielsen et al. (2003).
"Cheese, Danish Blue, 50 % fidm.","Milk, dairy products and eggs",6.63,Data on inputs and outputs of the food processing industry is modelled using: González-Garcíaet al. (2013a).
"Lamb, leg, unspecified",Meat and poultry,32.22,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); European Commission (2018).
"Lamb, meat, average values",Meat and poultry,32.22,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); European Commission (2018).
Crayfish,Seafood,2.75,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for shrimps aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal shellfish source, the aquaculture of shrimps. Electricity data for aquaculture are obtained from Mungkung R (2005)."
"Shrimps, boiled, shell removed",Seafood,8.8,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Electricity data for aquaculture are obtained from Mungkung R (2005).
Lobster,Seafood,2.75,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for shrimps aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal shellfish source, the aquaculture of shrimps. Electricity data for aquaculture are obtained from Mungkung R (2005)."
"Crab, boiled",Seafood,4.88,"Data on inputs and outputs of the food processing industry is modelled using: Feed data from Unnikrishnan & Paulraj (2010). The Feed Conversion Rate of giant tiger prawn is used as a proxy, drawn from Fry JP et al. (2018). Electricity data for aquaculture are obtained from from Mungkung R (2005)."
"Prawn, giant tiger, aquaculture, boiled, frozen",Seafood,10.13,Data on inputs and outputs of the food processing industry is modelled using: The Feed Conversion Rate is drawn from Fry JP et al. (2018).  Electricity data for aquaculture are obtained from from Mungkung R (2005).
"Shrimp, boiled, in brine",Seafood,8.8,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Electricity data for aquaculture are obtained from from Mungkung R (2005).
"Pop corn, oil and salt added, traditional",Cereals and cereal products,1.49,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020x); Expondo (2020).
"Peanuts, oilroasted and salted",Nuts and seeds,3.12,Data on inputs and outputs of the food processing industry is modelled using: EKO (2020); Open Food Facts (2020x).
Strawberry,Fruits and fruit products,0.57,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Raspberry,Fruits and fruit products,1.03,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Currant, black",Fruits and fruit products,0.69,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Blueberries,Fruits and fruit products,1.03,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Blackberry,Fruits and fruit products,1.17,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Rose hip,Fruits and fruit products,0.64,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Elderberry,Fruits and fruit products,1.17,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Currant, red",Fruits and fruit products,0.69,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Gooseberry,Fruits and fruit products,0.89,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Strawberries, frozen, unsweetened",Fruits and fruit products,0.57,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
Cranberry,Fruits and fruit products,0.73,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Blueberry, frozen, unsweetened",Fruits and fruit products,0.91,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
"Raspberry, frozen",Fruits and fruit products,1.12,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
"Cheese, Cream, 60 % fidm.","Milk, dairy products and eggs",6.63,Data on inputs and outputs of the food processing industry is modelled using: González-Garcíaet al. (2013a).
"Cheese, Brie, 45 % fidm.","Milk, dairy products and eggs",2.24,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014); Nielsen et al. (2003).
"Cheese, cottage, 20 % fidm.","Milk, dairy products and eggs",2.24,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014); Nielsen et al. (2003).
"Bulgur, parboiled",Cereals and cereal products,1.54,"Data on inputs and outputs of the food processing industry is modelled using: Blengini A, Busto M (2009) The life cycle of rice: LCA of alternative agri-food chain management systems in Vercelli (Italy). J Environ Manage 90(3):1512–1522."
"Sweetcorn, kernels, canned",Vegetables and vegetable products,0.65,Data on inputs and outputs of the food processing industry is modelled using: Miller (2017).
"Rice, parboiled",Cereals and cereal products,4.7,"Data on inputs and outputs of the food processing industry is modelled using: Blengini A, Busto M (2009) The life cycle of rice: LCA of alternative agri-food chain management systems in Vercelli (Italy). J Environ Manage 90(3):1512–1522."
"Quinoa, black",Cereals and cereal products,3.65,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Pepper, black",Seasonings and spices,4.69,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Mustard, yellow, ready made",Seasonings and spices,1.8,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020) Yellow Mustard Sweet - Heinz - 240g - 220ml. https://world.openfoodfacts.org/product/50157556/yellow-mustard-sweet-heinz

Open Food Facts (2020) Moutarde de Dijon Forte - Auchan. https://world.openfoodfacts.org/product/3596710473298/moutarde-de-dijon-forte-auchan

Andersson K, Ohlsson T, Olsson P (1998) Screening life cycle assessment (LCA) of tomato ketchup: a case study. Journal of Cleaner Production, 6(3–4): 277-288.
."
Curry powder,Seasonings and spices,5.53,Data on inputs and outputs of the food processing industry is modelled using: No specfic sources on this product. See comments field.
"BITTER, Gammel Dansk Bitter Dram","Wine, beer and spirits",2.51,Data on inputs and outputs of the food processing industry is modelled using: Amienyo (2012); Graham (2019).
"Brandy, cognac","Wine, beer and spirits",5.21,Data on inputs and outputs of the food processing industry is modelled using: FAO (2012); Amienyo (2012).
Vodka,"Wine, beer and spirits",2.51,Data on inputs and outputs of the food processing industry is modelled using: Amienyo (2012); Graham (2019).
"Aquavit, 40 % vol., average values","Wine, beer and spirits",2.51,Data on inputs and outputs of the food processing industry is modelled using: Amienyo (2012); Graham (2019).
Plum,Fruits and fruit products,0.76,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Cherry,Fruits and fruit products,1.01,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Chestnut,Nuts and seeds,2.04,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Prune, dried plum",Fruits and fruit products,2.24,Data on inputs and outputs of the food processing industry is modelled using: Vukoje et al. (2018).
"Apricot, dried",Fruits and fruit products,2.24,Data on inputs and outputs of the food processing industry is modelled using: Vukoje et al. (2018).
